FIPS-Code,Name,Population,All white Christians,White evangelical Protestant,White mainline Protestant,Black Protestant,White Catholic,Hispanic Catholic,Mormon,Other Christian,Jewish,Muslim,Buddhist,Hindu,Unaffiliated,Total
02090,"Dillingham Census Area, AK",4900,20,6,7,0,2,1,5,41,2,0,0,0,35,119
02100,"Fairbanks North Star Borough, AK",97000,41,18,14,2,6,3,3,12,1,0,2,0,38,140
02105,"Haines Borough, AK",2500,43,14,16,0,9,0,4,16,2,0,1,0,38,143
02110,"Hoonah-Angoon Census Area, AK",2100,29,13,12,0,2,1,2,31,0,0,0,0,38,128
02122,"City and Borough of Juneau, AK",32000,36,13,15,0,6,2,2,16,0,0,2,0,43,135
02130,"Kenai Peninsula Borough, AK",59000,44,20,15,0,5,0,4,15,1,0,1,0,39,144
02150,"Ketchikan Gateway Borough, AK",14000,41,18,17,0,5,2,1,17,1,0,1,0,38,141
02158,"Kodiak Island Borough, AK",13000,40,19,13,0,6,1,2,20,0,0,2,1,33,137
02164,"Kusilvak Census Area, AK",8300,16,5,3,0,3,0,5,48,2,0,0,0,33,115
02170,"Lake and Peninsula Borough, AK",1600,20,8,8,0,1,1,3,42,0,0,0,1,37,121
02180,"Matanuska-Susitna Borough, AK",108000,53,22,17,0,10,2,4,12,1,0,1,0,30,152
02185,"Nome Census Area, AK",10000,20,8,6,0,2,1,4,42,2,0,0,0,34,119
02188,"North Slope Borough, AK",9800,30,7,12,0,7,1,4,26,1,1,0,0,41,130
02195,"Northwest Arctic Borough, AK",7600,21,6,4,0,7,1,4,41,2,0,0,0,34,120
02198,"Petersburg Census Area, AK",3300,44,13,19,0,9,2,3,14,1,0,1,0,37,143
02220,"Prince of Wales-Hyder Census Area, AK",6200,35,13,13,0,6,2,3,25,0,0,0,0,36,133
02230,"Sitka City and Borough, AK",8500,40,19,16,0,3,1,2,21,1,0,1,0,35,139
02240,"Skagway Municipality, AK",1200,48,13,18,0,16,2,1,8,0,1,1,0,39,147
02261,"Southeast Fairbanks Census Area, AK",6900,44,15,13,0,13,1,3,11,2,0,1,0,41,144
02275,"Valdez-Cordova Census Area, AK",9200,46,19,17,0,7,1,3,13,1,0,1,0,38,146
02282,"Wrangell City and Borough, AK",2500,41,17,20,0,2,1,2,18,0,0,1,0,40,142
02290,"Yakutat City and Borough, AK",600,31,11,14,0,5,1,1,29,0,0,1,0,37,130
04001,"Yukon-Koyukuk Census Area, AK",5200,20,5,6,0,7,1,2,41,1,0,0,0,37,120
04003,"Apache County, AZ",72000,25,6,6,0,5,5,8,33,1,0,0,0,35,124
04005,"Cochise County, AZ",126000,50,18,16,1,10,14,6,6,0,0,1,0,26,148
04007,"Coconino County, AZ",143000,39,12,13,0,7,6,7,12,1,1,1,0,39,138
04009,"Gila County, AZ",54000,54,22,19,0,8,7,5,10,0,0,0,0,25,150
04011,"Graham County, AZ",39000,51,18,14,0,7,11,12,8,0,0,0,0,27,148
04012,"Greenlee County, AZ",9500,46,18,13,0,7,18,8,3,0,0,0,0,26,139
04013,"La Paz County, AZ",21000,52,21,16,0,10,9,5,9,0,0,0,0,27,149
04015,"Maricopa County, AZ",4485000,42,13,13,3,11,12,5,6,2,1,1,1,27,137
04017,"Mohave County, AZ",212000,59,25,17,1,12,3,5,6,1,0,0,0,27,156
04019,"Navajo County, AZ",111000,41,14,10,0,4,5,13,21,1,0,0,0,30,139
04021,"Pima County, AZ",1047000,36,12,13,2,9,15,2,7,1,1,1,0,31,130
04023,"Pinal County, AZ",463000,47,14,16,3,11,12,6,8,1,1,1,0,24,144
04025,"Santa Cruz County, AZ",46000,18,3,6,1,5,52,4,3,1,0,1,0,14,108
04027,"Yavapai County, AZ",235000,58,24,20,1,10,4,4,5,1,0,1,0,28,156
05001,"Yuma County, AZ",214000,30,13,9,2,4,36,4,5,0,0,0,0,18,121
05003,"Arkansas County, AR",17000,58,40,16,18,1,2,1,4,0,0,0,0,17,157
05005,"Ashley County, AR",20000,67,55,11,17,1,1,0,3,0,0,0,0,10,165
05007,"Baxter County, AR",42000,74,40,22,3,11,0,1,5,0,0,0,0,17,173
05009,"Benton County, AR",279000,61,36,16,1,6,5,3,6,0,0,0,1,22,157
05011,"Boone County, AR",37000,73,53,17,2,3,0,0,4,0,0,0,0,20,172
05013,"Bradley County, AR",11000,53,39,10,22,3,4,1,5,0,0,0,0,14,151
05015,"Calhoun County, AR",5200,71,47,19,10,5,1,0,5,0,0,0,0,13,171
05017,"Carroll County, AR",28000,66,43,17,1,6,3,0,4,0,0,0,0,25,165
05019,"Chicot County, AR",10000,39,26,10,41,3,1,0,5,0,0,0,0,12,137
05021,"Clark County, AR",22000,54,38,15,16,1,1,0,6,0,0,0,0,21,152
05023,"Clay County, AR",15000,78,54,22,3,2,0,0,4,0,0,0,0,16,179
05025,"Cleburne County, AR",25000,77,49,23,2,5,0,0,5,0,0,0,0,14,175
05027,"Cleveland County, AR",8000,75,56,16,6,3,0,0,4,0,0,0,0,13,173
05029,"Columbia County, AR",23000,54,36,13,27,5,0,0,6,0,0,0,0,12,153
05031,"Conway County, AR",21000,67,44,17,9,6,1,0,4,0,0,0,0,19,167
05033,"Craighead County, AR",110000,65,43,15,9,6,1,1,6,0,0,0,0,18,164
05035,"Crawford County, AR",63000,72,53,13,2,6,2,0,5,0,0,0,0,18,171
05037,"Crittenden County, AR",48000,35,25,9,39,1,0,0,8,0,0,0,0,15,132
05039,"Cross County, AR",16000,66,47,16,13,3,1,0,7,0,0,0,0,13,166
05041,"Dallas County, AR",7000,48,34,11,34,3,1,0,5,0,0,0,0,11,147
05043,"Desha County, AR",11000,41,30,11,40,0,1,0,6,0,0,0,0,11,140
05045,"Drew County, AR",18000,58,39,14,19,5,1,0,5,0,0,0,0,15,156
05047,"Faulkner County, AR",126000,61,41,14,10,6,2,0,5,0,0,0,0,20,159
05049,"Franklin County, AR",18000,73,51,17,3,5,1,0,5,0,0,0,0,17,172
05051,"Fulton County, AR",12000,79,57,19,1,3,0,0,4,0,0,0,0,15,178
05053,"Garland County, AR",99000,67,40,19,6,7,1,1,4,0,0,0,0,21,166
05055,"Grant County, AR",18000,76,51,18,2,7,0,0,5,0,0,0,0,16,175
05057,"Greene County, AR",45000,75,55,19,2,1,0,0,5,0,0,0,0,18,175
05059,"Hempstead County, AR",22000,54,37,14,22,3,2,0,6,0,0,0,0,13,151
05061,"Hot Spring County, AR",34000,71,54,15,8,2,0,0,4,0,0,0,0,15,169
05063,"Howard County, AR",13000,61,46,14,11,1,3,0,6,0,0,0,0,16,158
05065,"Independence County, AR",38000,72,47,20,2,4,2,1,4,0,0,0,0,19,171
05067,"Izard County, AR",14000,77,50,18,1,9,1,0,5,0,0,0,0,16,177
05069,"Jackson County, AR",17000,67,51,15,9,1,2,0,8,0,0,0,0,13,166
05071,"Jefferson County, AR",67000,34,24,9,44,1,2,0,4,0,0,0,0,13,131
05073,"Johnson County, AR",27000,65,47,15,6,3,3,0,6,0,0,0,0,18,163
05075,"Lafayette County, AR",6600,56,38,17,28,1,0,0,6,0,0,0,0,9,155
05077,"Lawrence County, AR",16000,75,54,17,2,4,0,0,5,0,0,0,0,17,174
